# Episodio, Score
863, 257.90
864, -380.15
865, 210.91
866, -14.59
867, 121.41
868, -6.41
869, 243.26
870, 242.56
871, -43.45
872, 267.49
873, 31.65
874, 221.47
875, 20.58
876, -49.42
877, 35.55
878, 258.05
879, 266.59
880, 215.75
881, 254.26
882, 263.92
883, 245.05
884, 252.66
885, 13.54
886, 7.05
887, 57.65
888, 255.97
889, 151.61
890, 216.10
891, 229.77
892, 282.95
893, 280.16
894, 245.22
895, -8.68
896, 154.96
897, 232.55
898, 35.67
899, 220.33
900, 233.57
901, 232.56
902, 245.75
903, 27.97
904, 256.05
905, 219.20
906, 215.01
907, 179.88
908, 234.62
909, 272.59
910, 31.17
911, 240.45
912, 285.93
913, 272.55
914, -29.72
915, -9.08
916, 234.61
917, 245.47
918, 178.34
919, 251.79
920, 279.65
921, 280.70
922, 265.04
923, 274.00
924, 234.69
925, 209.42
926, 206.45
927, 202.82
928, -19.81
929, 264.76
930, 31.45
931, 225.83
932, 275.46
933, 224.10
934, 236.19
935, 161.22
936, 246.16
937, 267.60
938, 253.23
939, 273.95
940, 250.01
941, 209.28
942, 240.43
943, 198.28
944, 101.47
945, 263.25
946, 85.22
947, 211.27
948, 18.18
949, 144.80
950, 208.74
951, 47.05
952, 213.98
953, 35.90
954, 240.14
955, 242.95
956, 250.92
957, 50.74
958, 25.49
959, -3.36
960, 239.09
961, 266.33
962, -104.59
963, 255.04
964, 253.93
965, 236.06
966, 256.48
967, 45.30
968, 242.74
969, 236.75
970, 39.32
971, 267.29
972, -0.68
973, 162.13
974, 215.17
975, -3.97
976, 19.42
977, 9.23
978, 241.08
979, 37.87
980, 62.24
981, 240.15
982, 246.27
983, 18.49
984, 282.11
985, 226.59
986, 263.42
987, 28.68
988, 64.46
989, 31.09
990, -267.87
991, 15.36
992, 229.48
993, 40.27
994, 43.10
995, 22.00
996, 271.42
997, 6.83
998, 248.27
999, 227.09
1000, 63.80
1001, 51.54
1002, 16.57
1003, 11.74
1004, 238.16
1005, 252.43
1006, 236.94
1007, 8.38
1008, 244.49
1009, 10.53
1010, 58.85
1011, 26.51
1012, 89.07
1013, 247.65
1014, 53.64
1015, 233.63
1016, 249.97
1017, -67.60
1018, 197.83
1019, 213.59
1020, 14.00
1021, 79.80
1022, -11.00
1023, 58.15
1024, 215.23
1025, 22.53
1026, 10.37
1027, 76.34
1028, 17.00
1029, 183.57
1030, 269.29
1031, 212.69
1032, 40.51
1033, -312.83
1034, 254.71
1035, 248.78
1036, 47.65
1037, 234.40
1038, 31.04
1039, 251.55
1040, 290.56
1041, -9.78
1042, 232.73
1043, 201.18
1044, 168.92
1045, 249.39
1046, 25.92
1047, 46.27
1048, 220.79
1049, 233.20
1050, 220.98
1051, -12.23
1052, 274.23
1053, 163.40
1054, 90.74
1055, 25.78
1056, 134.17
1057, 202.91
1058, 270.89
