# Episodio, Loss
779, 17.7333
780, 13.8721
781, 13.3316
782, 11.1930
783, 10.3171
784, 18.2060
785, 25.6865
786, 9.9447
787, 11.8726
788, 15.0491
789, 17.9075
790, 15.0500
791, 17.3411
792, 12.4479
793, 16.4526
794, 10.1454
795, 11.8508
796, 19.8883
797, 15.3035
798, 17.5551
799, 16.7746
800, 20.3281
801, 15.4074
802, 15.4262
803, 15.1688
804, 24.0181
805, 21.0008
806, 19.1614
807, 25.7086
808, 21.1913
809, 20.6943
810, 13.8816
811, 16.9125
812, 15.8478
813, 11.7350
814, 29.5617
815, 24.4977
816, 18.1105
817, 25.8547
818, 21.6555
819, 28.3605
820, 18.7896
821, 32.9447
822, 18.8320
823, 22.5050
824, 15.1001
825, 17.6561
826, 23.4741
827, 12.1689
828, 13.7336
829, 15.4995
830, 15.4679
831, 11.8030
832, 13.1798
833, 19.1498
834, 23.4584
835, 15.5630
836, 13.8282
837, 11.6278
838, 13.3555
839, 14.2731
840, 16.4746
841, 9.5383
842, 14.2304
843, 10.9076
844, 10.6990
845, 6.6176
846, 12.3302
847, 6.3525
848, 10.8851
849, 12.5649
850, 11.5541
851, 13.5948
852, 14.7455
853, 6.7283
854, 13.0601
855, 13.6251
856, 12.2742
857, 13.6167
858, 14.1231
859, 10.1394
860, 8.7842
861, 10.5915
862, 15.7745
863, 15.2591
864, 14.8142
865, 15.0362
866, 12.1720
867, 9.8129
868, 5.2673
869, 19.0208
870, 19.9434
871, 18.0984
872, 16.9645
873, 13.9181
874, 20.3175
875, 16.8958
876, 21.3287
877, 18.3254
878, 16.3123
879, 16.2040
880, 18.3269
881, 21.2967
882, 20.1509
883, 19.4271
884, 19.5248
885, 20.8139
886, 19.0768
887, 20.7790
888, 17.5492
889, 24.3920
890, 20.8466
891, 17.4618
892, 19.5629
893, 18.4118
894, 12.7430
895, 3.9666
896, 22.6766
897, 18.5949
898, 24.4389
899, 24.3184
900, 21.0193
901, 22.6716
902, 28.8857
903, 32.7705
904, 27.9077
905, 28.5354
906, 21.6255
907, 22.3978
908, 18.7998
909, 15.8715
910, 34.0559
911, 24.8988
912, 15.9813
913, 24.2247
914, 25.3163
915, 19.7510
916, 30.9298
917, 22.0188
918, 30.7271
919, 21.0713
920, 25.4590
921, 25.2698
922, 28.6124
923, 25.7478
924, 29.2664
925, 23.2078
926, 25.3800
927, 25.3600
928, 34.0615
